CARACTERISTICA	TIPO_ACAO	ESFERA	ORIGEM	PRIORITARIA	CODIGO_PROGRAMA	NOME_PROGRAMA	CODIGO_ACAO	NOME_ACAO	CODIGO_ORGAO	SIGLA_ORGAO	CODIGO_UO	SIGLA_UO	CODIGO_FUNCAO	NOME_FUNCAO	CODIGO_SUBFUNCAO	NOME_SUBFUNCAO	NOIME_PRODUTO	UNIDADE_MEDIDA	LOCALIZADOR	CODIGO_REGIAO	REGIAO	CUMULATIVIDADE_METAFISICA	CODIGO_FONTERECURSO	NOME_FONTERECURSO	CODIGO_GRUPODESPESA	NOME_GRUPODESPESA	PROGRAMACAOFINANCEIRA_2020	PROGRAMACAOFINANCEIRA_2021	PROGRAMACAOFINANCEIRA_2022	PROGRAMACAOFINANCEIRA_2023
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	03000	PGJ	03101	PGJ	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	100	Recursos Ordinários	3	Outras Despesas Correntes               	16661000	17363000	18228000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	03000	PGJ	03101	PGJ	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1100	Recursos não Vinculados de Impostos	3	Outras Despesas Correntes               	0	0	0	21093000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	03000	PGJ	03701	FAMP	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1285	Recursos Vinculados a Fundos - Outras Fontes	3	Outras Despesas Correntes               	0	0	0	90000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	03000	PGJ	03701	FAMP	03	Essencial à Justiça	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	285	Outras Fontes	3	Outras Despesas Correntes               	200000	180000	90000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	3	Outras Despesas Correntes               	0	0	0	7098600
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	1121	Recursos não Vinculados de Impostos - FPE	4	Investimentos                           	0	0	0	10000
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	121	Cota-parte do Fundo de Participação dos Estados e do Distrito Federal	3	Outras Despesas Correntes               	250000	4354706	6595000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	121	Cota-parte do Fundo de Participação dos Estados e do Distrito Federal	4	Investimentos                           	0	0	10000	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	140	Indenização pela Utilização de Recursos Hídricos e Exploração de Recursos Minerais	3	Outras Despesas Correntes               	0	3000000	0	0
Padronizada	Atividades	Fiscal	PPA	NÃO	0001	PROGRAMA DE APOIO ADMINISTRATIVO	2001	Administração da Unidade	11000	CASA CIVIL	11101	CASA CIVIL	04	Administração          	122	Administração Geral                                	Unidade administrada	Un - Unidade	Estado	0001	Estado	NÃO	145	Recursos do Royalties sobre o Petróleo	3	Outras Despesas Correntes               	7177484	0	0	0
